Timecode List:,00:00:15.724,00:00:29.154,00:00:55.013,00:01:50.360,00:02:28.523,00:03:01.932,00:04:13.128,00:04:17.007,00:05:27.661,00:05:49.015,00:06:54.164,00:08:13.493,00:08:21.042,00:09:13.261,00:09:34.699,00:09:46.086,00:09:48.546,00:09:52.842,00:10:06.147,00:10:29.921,00:10:47.814,00:12:26.621,00:12:44.639,00:12:58.319,00:13:22.176,00:13:57.128,00:14:00.256,00:14:50.681,00:14:53.726,00:14:57.105,00:15:14.872,00:15:31.097,00:15:36.352,00:16:52.094,00:17:04.482,00:17:16.535,00:17:47.858,00:17:49.110,00:17:49.986,00:17:53.739,00:17:54.699,00:18:08.796,00:18:30.484,00:18:40.703,00:18:42.371,00:18:49.211,00:18:51.839,00:19:03.309,00:19:11.108,00:19:31.379,00:20:06.038,00:20:59.800,00:21:44.887,00:21:48.599,00:22:11.205,00:23:36.165,00:23:51.764,00:23:58.103,00:25:19.059,00:25:30.904,00:25:33.574,00:25:36.243,00:25:50.841,00:25:58.348,00:26:01.769,00:26:29.963,00:26:40.599,00:26:58.492,00:27:23.851,00:27:31.483,00:27:33.443,00:27:47.207,00:27:53.547,00:28:27.080,00:29:33.480,00:29:58.839,00:30:25.449,00:30:31.788,00:30:32.998,00:30:34.166,00:30:51.224,00:31:28.095,00:31:37.020,00:31:38.355,00:31:48.573,00:32:25.944,00:32:45.630,00:33:02.856,00:33:13.200,00:33:16.453,00:33:29.174,00:33:35.555,00:33:52.280,00:34:26.523,00:36:14.172,00:36:50.709,00:37:28.246,00:37:47.015,00:38:01.905,00:38:30.767,00:39:53.558,00:40:52.367,00:41:06.673,00:41:32.115,00:41:47.547,00:41:50.967,00:41:58.391,00:42:22.290,00:42:24.625,00:42:25.293,00:42:26.419,00:42:56.157,00:42:59.660,00:43:06.209,00:43:12.298,00:43:26.521,00:43:34.403,00:44:09.647,00:45:01.073,00:45:09.624,00:45:26.432,00:45:32.104,00:45:51.582,00:46:10.935,00:46:17.483,00:46:27.159,00:46:40.172,00:46:54.979,00:47:00.067,00:48:18.145,00:48:28.864,00:48:50.803,00:48:58.477,00:49:19.790,00:49:21.208,00:49:23.919,00:49:32.386,00:49:41.979,00:49:52.364,00:50:10.925,00:50:26.315,00:50:35.908,00:51:05.271,00:52:29.688,00:52:31.565,00:52:36.445,00:52:38.197,00:53:24.576,00:53:34.420,00:53:42.845,00:53:49.143,00:54:10.122,00:54:17.379,00:54:33.562,00:54:41.153,00:54:45.699,00:55:06.845,00:55:10.098,00:55:14.645,00:55:16.188,00:55:19.775,00:55:22.444,00:55:26.406,00:55:38.085,00:55:56.645,00:55:57.229,00:55:58.730,00:56:00.315,00:56:01.525,00:56:02.734,00:56:09.324,00:56:11.493,00:56:14.371,00:56:17.624,00:56:22.588,00:56:25.382,00:56:49.281,00:56:51.450,00:56:54.036,00:57:33.367,00:57:40.666,00:57:41.458,00:57:42.626,00:57:50.425,00:57:57.224,00:58:06.108,00:58:11.321,00:58:14.199,00:58:49.526,00:58:53.613,00:59:53.256,01:00:03.350,01:00:06.019,01:00:37.133,01:00:45.475,01:00:48.812,01:01:06.663,01:01:47.037,01:02:04.554,01:02:17.108,01:02:35.543,01:02:50.308,01:02:55.647,01:03:03.196,01:03:27.345,01:03:34.311,01:03:47.407,01:04:03.882,01:04:27.530,01:05:05.527,01:05:13.284,01:05:27.048,01:05:31.594,01:05:57.745,01:05:59.372,01:06:02.459,01:06:09.632,01:06:14.721,01:06:18.183,01:06:31.863,01:06:40.663,01:07:11.903,01:07:15.073,01:07:16.115,01:07:28.795,01:07:59.284,01:08:07.917,01:08:24.017,01:08:24.600,01:08:34.110,01:08:52.128,01:08:53.504,01:08:54.589,01:08:55.673,01:08:57.175,01:08:58.092,01:09:00.887,01:09:04.515,01:09:19.864,01:09:34.212,01:09:49.227,01:09:50.520,01:09:55.066,01:10:05.952,01:10:35.481,01:10:48.911,01:10:50.997,01:11:21.402,01:11:27.950,01:11:28.701,01:11:29.744,01:11:31.704,01:11:46.052,01:12:06.364,01:12:15.706,01:12:24.131,01:12:39.313,01:12:49.574,01:13:11.887,01:13:13.806,01:13:14.473,01:13:49.383,01:13:56.641,01:14:03.189,01:14:05.983,01:14:07.944,01:14:15.326,01:14:25.836,01:14:49.151,01:14:52.488,01:14:54.824,01:14:55.783,01:14:56.450,01:15:20.766,01:15:32.987,01:16:10.983,01:16:35.591,01:16:49.355,01:16:57.196,01:16:59.114,01:17:25.224,01:17:57.172,01:18:01.552,01:18:07.266,01:18:09.185,01:18:12.188,01:18:13.147,01:18:26.118,01:18:34.752,01:18:37.755,01:18:40.174,01:18:41.550,01:18:43.427,01:19:01.904,01:19:10.287,01:19:18.671,01:19:19.296,01:19:23.467,01:19:27.096,01:19:29.098,01:19:31.392,01:19:33.727,01:19:35.562,01:19:36.730,01:19:40.985,01:20:17.646,01:20:26.363,01:20:29.241,01:21:00.981,01:21:05.319,01:21:18.957,01:24:36.405,01:25:18.530,01:25:19.573,01:25:31.460,01:30:13.658,01:31:40.495,01:31:42.747,01:32:27.292,01:32:38.386,01:32:47.103,01:32:59.365,01:33:17.759,01:33:45.578,01:34:03.680,01:34:07.684,01:34:23.616,01:34:30.874,01:34:44.929,01:34:58.067,01:35:06.242,01:35:08.786,01:35:17.754,01:35:20.173,01:35:21.216,01:35:24.010,01:35:27.931,01:35:30.225,01:35:37.190,01:35:58.795,01:36:08.221,01:36:25.613,01:36:36.874,01:37:26.382,01:37:27.008,01:37:47.695,01:38:11.928,01:38:18.559,01:38:23.231,01:38:24.023,01:38:30.071,01:38:40.581,01:38:41.374,01:40:39.533,01:41:48.936,01:43:34.875,01:44:26.802,01:44:32.558,01:44:35.186,01:45:25.110,01:46:00.396,01:46:09.530,01:46:16.328,01:46:27.423,01:47:27.983,01:47:34.406,01:47:56.887,01:48:15.739,01:48:42.016,01:48:57.448,01:49:22.806,01:49:26.894,01:50:02.221,01:51:53.707,01:52:12.142,01:53:09.032,01:53:16.873,01:53:48.822,01:53:55.620,01:54:53.220,01:55:11.029,01:56:27.189,01:56:31.026,01:56:35.655,01:56:44.998,01:56:55.967,01:57:33.255,01:57:52.691,01:58:39.237,01:58:55.795,01:58:59.883,01:59:03.386,01:59:26.117,02:00:08.451,02:00:45.029,02:00:47.991,02:01:02.338,02:01:26.404,02:02:03.441,02:02:32.470,02:02:35.014,02:04:53.903,02:06:26.537,02:06:33.711,02:06:43.513,02:06:50.520,02:07:02.406,02:07:13.042,02:07:17.547
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
71,39597,00:27:31.483,1651.483,39643,00:27:33.443,1653.443,47,00:00:01.960,1.960
72,39644,00:27:33.443,1653.443,39973,00:27:47.207,1667.207,330,00:00:13.764,13.764
73,39974,00:27:47.207,1667.207,40125,00:27:53.547,1673.547,152,00:00:06.340,6.340
74,40126,00:27:53.547,1673.547,40929,00:28:27.080,1707.080,804,00:00:33.533,33.533
75,40930,00:28:27.080,1707.080,42521,00:29:33.480,1773.480,1592,00:01:06.400,66.400
76,42522,00:29:33.480,1773.480,43129,00:29:58.839,1798.839,608,00:00:25.359,25.359
77,43130,00:29:58.839,1798.839,43767,00:30:25.449,1825.449,638,00:00:26.610,26.610
78,43768,00:30:25.449,1825.449,43919,00:30:31.788,1831.788,152,00:00:06.340,6.340
79,43920,00:30:31.788,1831.788,43948,00:30:32.998,1832.998,29,00:00:01.210,1.210
80,43949,00:30:32.998,1832.998,43976,00:30:34.166,1834.166,28,00:00:01.168,1.168
81,43977,00:30:34.166,1834.166,44385,00:30:51.224,1851.224,409,00:00:17.059,17.059
82,44386,00:30:51.224,1851.224,45269,00:31:28.095,1888.095,884,00:00:36.870,36.870
83,45270,00:31:28.095,1888.095,45483,00:31:37.020,1897.020,214,00:00:08.926,8.926
84,45484,00:31:37.020,1897.020,45515,00:31:38.355,1898.355,32,00:00:01.335,1.335
85,45516,00:31:38.355,1898.355,45760,00:31:48.573,1908.573,245,00:00:10.219,10.219
86,45761,00:31:48.573,1908.573,46656,00:32:25.944,1945.944,896,00:00:37.371,37.371
87,46657,00:32:25.944,1945.944,47128,00:32:45.630,1965.630,472,00:00:19.686,19.686
88,47129,00:32:45.630,1965.630,47541,00:33:02.856,1982.856,413,00:00:17.226,17.226
89,47542,00:33:02.856,1982.856,47789,00:33:13.200,1993.200,248,00:00:10.344,10.344
90,47790,00:33:13.200,1993.200,47867,00:33:16.453,1996.453,78,00:00:03.253,3.253
91,47868,00:33:16.453,1996.453,48172,00:33:29.174,2009.174,305,00:00:12.721,12.721
92,48173,00:33:29.174,2009.174,48325,00:33:35.555,2015.555,153,00:00:06.381,6.381
93,48326,00:33:35.555,2015.555,48726,00:33:52.280,2032.280,401,00:00:16.725,16.725
94,48727,00:33:52.280,2032.280,49547,00:34:26.523,2066.523,821,00:00:34.243,34.243
95,49548,00:34:26.523,2066.523,52128,00:36:14.172,2174.172,2581,00:01:47.649,107.649
96,52129,00:36:14.172,2174.172,53004,00:36:50.709,2210.709,876,00:00:36.536,36.536
97,53005,00:36:50.709,2210.709,53904,00:37:28.246,2248.246,900,00:00:37.538,37.538
98,53905,00:37:28.246,2248.246,54354,00:37:47.015,2267.015,450,00:00:18.769,18.769
99,54355,00:37:47.015,2267.015,54711,00:38:01.905,2281.905,357,00:00:14.890,14.890
100,54712,00:38:01.905,2281.905,55403,00:38:30.767,2310.767,692,00:00:28.862,28.862
101,55404,00:38:30.767,2310.767,57388,00:39:53.558,2393.558,1985,00:01:22.791,82.791
102,57389,00:39:53.558,2393.558,58798,00:40:52.367,2452.367,1410,00:00:58.809,58.809
103,58799,00:40:52.367,2452.367,59141,00:41:06.673,2466.673,343,00:00:14.306,14.306
104,59142,00:41:06.673,2466.673,59751,00:41:32.115,2492.115,610,00:00:25.442,25.442
105,59752,00:41:32.115,2492.115,60121,00:41:47.547,2507.547,370,00:00:15.432,15.432
106,60122,00:41:47.547,2507.547,60203,00:41:50.967,2510.967,82,00:00:03.420,3.420
107,60204,00:41:50.967,2510.967,60381,00:41:58.391,2518.391,178,00:00:07.424,7.424
108,60382,00:41:58.391,2518.391,60954,00:42:22.290,2542.290,573,00:00:23.899,23.899
109,60955,00:42:22.290,2542.290,61010,00:42:24.625,2544.625,56,00:00:02.336,2.336
110,61011,00:42:24.625,2544.625,61026,00:42:25.293,2545.293,16,00:00:00.667,0.667
111,61027,00:42:25.293,2545.293,61053,00:42:26.419,2546.419,27,00:00:01.126,1.126
112,61054,00:42:26.419,2546.419,61766,00:42:56.157,2576.157,713,00:00:29.738,29.738
113,61767,00:42:56.157,2576.157,61850,00:42:59.660,2579.660,84,00:00:03.503,3.503
114,61851,00:42:59.660,2579.660,62007,00:43:06.209,2586.209,157,00:00:06.548,6.548
115,62008,00:43:06.209,2586.209,62153,00:43:12.298,2592.298,146,00:00:06.089,6.089
116,62154,00:43:12.298,2592.298,62494,00:43:26.521,2606.521,341,00:00:14.223,14.223
117,62495,00:43:26.521,2606.521,62683,00:43:34.403,2614.403,189,00:00:07.883,7.883
118,62684,00:43:34.403,2614.403,63528,00:44:09.647,2649.647,845,00:00:35.244,35.244
119,63529,00:44:09.647,2649.647,64761,00:45:01.073,2701.073,1233,00:00:51.426,51.426
120,64762,00:45:01.073,2701.073,64966,00:45:09.624,2709.624,205,00:00:08.550,8.550
121,64967,00:45:09.624,2709.624,65369,00:45:26.432,2726.432,403,00:00:16.808,16.808
122,65370,00:45:26.432,2726.432,65505,00:45:32.104,2732.104,136,00:00:05.672,5.672
123,65506,00:45:32.104,2732.104,65972,00:45:51.582,2751.582,467,00:00:19.478,19.478
124,65973,00:45:51.582,2751.582,66436,00:46:10.935,2770.935,464,00:00:19.353,19.353
125,66437,00:46:10.935,2770.935,66593,00:46:17.483,2777.483,157,00:00:06.548,6.548
126,66594,00:46:17.483,2777.483,66825,00:46:27.159,2787.159,232,00:00:09.676,9.676
127,66826,00:46:27.159,2787.159,67137,00:46:40.172,2800.172,312,00:00:13.013,13.013
128,67138,00:46:40.172,2800.172,67492,00:46:54.979,2814.979,355,00:00:14.806,14.806
129,67493,00:46:54.979,2814.979,67614,00:47:00.067,2820.067,122,00:00:05.088,5.088
130,67615,00:47:00.067,2820.067,69486,00:48:18.145,2898.145,1872,00:01:18.078,78.078
131,69487,00:48:18.145,2898.145,69743,00:48:28.864,2908.864,257,00:00:10.719,10.719
132,69744,00:48:28.864,2908.864,70269,00:48:50.803,2930.803,526,00:00:21.939,21.939
133,70270,00:48:50.803,2930.803,70453,00:48:58.477,2938.477,184,00:00:07.674,7.674
134,70454,00:48:58.477,2938.477,70964,00:49:19.790,2959.790,511,00:00:21.313,21.313
135,70965,00:49:19.790,2959.790,70998,00:49:21.208,2961.208,34,00:00:01.418,1.418
136,70999,00:49:21.208,2961.208,71063,00:49:23.919,2963.919,65,00:00:02.711,2.711
137,71064,00:49:23.919,2963.919,71266,00:49:32.386,2972.386,203,00:00:08.467,8.467
138,71267,00:49:32.386,2972.386,71496,00:49:41.979,2981.979,230,00:00:09.593,9.593
139,71497,00:49:41.979,2981.979,71745,00:49:52.364,2992.364,249,00:00:10.385,10.385
140,71746,00:49:52.364,2992.364,72190,00:50:10.925,3010.925,445,00:00:18.560,18.560
141,72191,00:50:10.925,3010.925,72559,00:50:26.315,3026.315,369,00:00:15.390,15.390
142,72560,00:50:26.315,3026.315,72789,00:50:35.908,3035.908,230,00:00:09.593,9.593
143,72790,00:50:35.908,3035.908,73493,00:51:05.271,3065.271,704,00:00:29.363,29.363
144,73494,00:51:05.271,3065.271,75517,00:52:29.688,3149.688,2024,00:01:24.418,84.418
145,75518,00:52:29.688,3149.688,75562,00:52:31.565,3151.565,45,00:00:01.877,1.877
146,75563,00:52:31.565,3151.565,75679,00:52:36.445,3156.445,117,00:00:04.880,4.880
147,75680,00:52:36.445,3156.445,75721,00:52:38.197,3158.197,42,00:00:01.752,1.752
148,75722,00:52:38.197,3158.197,76833,00:53:24.576,3204.576,1112,00:00:46.380,46.380
149,76834,00:53:24.576,3204.576,77069,00:53:34.420,3214.420,236,00:00:09.843,9.843
150,77070,00:53:34.420,3214.420,77271,00:53:42.845,3222.845,202,00:00:08.425,8.425
151,77272,00:53:42.845,3222.845,77422,00:53:49.143,3229.143,151,00:00:06.298,6.298
152,77423,00:53:49.143,3229.143,77925,00:54:10.122,3250.122,503,00:00:20.979,20.979
153,77926,00:54:10.122,3250.122,78099,00:54:17.379,3257.379,174,00:00:07.257,7.257
